Northing,Easting,Depth,Moment Magnitude
9582,14863,8139,-2.378
9957,15031,8281,-0.310
10532,15342,8874,-2.136
9354,15222,8105,-1.891
9823,15149,8479,-1.845
10758,15549,9002,-2.413
9737,15060,7906,-2.345
9520,14902,8172,-2.098
10013,15753,8241,-2.004
10266,15638,8358,-2.214
10310,15560,8407,-2.330
9959,15607,8178,-0.716
9943,15606,8179,-0.879
9942,15613,8185,-2.008
9940,15598,8199,-1.888
9948,15601,8150,-0.907
9938,15599,8192,-1.226
9928,15599,8191,-1.239
9988,15612,8175,-2.385
9932,15601,8191,-1.639
9949,15606,8199,-2.218
9943,15608,8207,-2.175
9942,15618,8197,-2.102
10362,15321,8323,-2.492
10364,15301,8336,-2.479
10026,14800,8487,-2.352
9357,15300,8093,-1.547
9346,15281,8079,-1.619
9794,15056,7896,-1.586
9475,15425,8093,-2.278
9651,14960,8160,-2.023
10060,16038,8183,-2.528
9971,15809,8276,-2.072
9978,15721,8168,-2.648
9174,15210,8014,-2.057
10357,15322,8345,-2.387
10358,15320,8339,-1.938
10363,15321,8344,-2.370
10061,14630,8701,-2.293
9656,14991,7853,-2.882
9622,15621,8255,-2.456
10564,15307,8832,-1.814
10561,15299,8845,-2.343
10147,15558,8331,-2.175
9971,15819,8224,-2.430
10942,15747,8874,-2.395
10558,15293,8844,-1.995
10016,14732,8437,-1.537
9919,15060,8188,-2.482
9971,15737,8138,-2.000
9978,15743,8135,-1.878
9967,15736,8135,-1.871
9948,15728,8151,-1.894
9702,14528,8354,-2.095
9972,15739,8158,-1.921
9974,15729,8152,-1.941
9982,15593,8177,-2.451
9976,15730,8135,-1.862
10260,14568,8652,-2.508
9979,15734,8156,-1.695
9973,15735,8165,-2.028
9358,15439,8051,-2.011
10542,15428,8560,-2.572
10030,15829,8251,-1.410
10158,15443,8298,-2.127
11047,15636,8972,-2.105
9878,15938,8268,-2.655
10083,14535,8453,-1.691
10101,14503,8438,-2.245
10087,14535,8463,-2.513
9984,15730,8160,-2.235
